# 인용금지 레지스트리 — 정본이 금지한 수치·문구를 새 문서가 다시 쓰는 것을 막는다.
# 등재만으로는 전파되지 않는다는 것이 2026-08-18에 실증됐다(등재 다음 날 위반). [CS-OK]
# 형식: PATTERN <TAB> SOURCE <TAB> WHY
# PATTERN은 Python re. 정본 문서 자신은 검사 대상에서 제외된다(금지를 서술해야 하므로).
33\.04	CONSENSUS §33 승격금지(vii)	split-state decode batch 절대값, 재현 경로 없음
20\.39	CONSENSUS §33 승격금지(vii)	동상
19\.49	CONSENSUS §33 승격금지(vii)	동상
7\.24\s*s	CONSENSUS §1-4	magnitude 인용금지
\[\+0\.34%,\s*−1\.92%\]	CONSENSUS §33 승격금지(viii)	분석기 MANDATORY_BAND는 구 격자 하드코딩 상수
1\.26[–-]1\.33×	CORESIDENCY_L_AXIS §0	오염 job(865533) 평균 산물, REFUTED
2\.0[–-]2\.65×	CONSENSUS §1-33	서로 다른 arm 집합을 한 범위로 합친 오기
0\.156\s*%	PROMOTION_DRAFT_SWITCH_2026-08-22.md 금지2	REFUTED된 STEP0_SWITCH_GAP §3 규모 수치, "전환은 사소" 오독 소스
0\.230\s*%	PROMOTION_DRAFT_SWITCH_2026-08-22.md 금지2	동상, REFUTED된 §3 규모 수치(재현 불가)
13\.711|13\.71\s*ms	CONSENSUS §1 신규 행 34(2026-08-22)	두 겹치지 않는 모델군집(granite/zamba2)의 풀링 residency, 어느 아티팩트도 이 값을 내지 않음
1\.357\s*ms	CONSENSUS §1 신규 행 34(2026-08-22)	두 겹치지 않는 최빈값(SW→PART/SW→FULL)의 혼합 중앙값, 물리량 아님
# 제거된 규칙: '처리량 최적 split' · 'gate #16/13을 닫았' — 사전등록이 estimand를
# 정의할 때 쓰는 문구라 추가 줄에서도 정당한 경우가 많다. 이건 감사의 몫으로 남긴다.
# ⚠️한계 — 숫자 패턴은 **무관한 양과 우연히 충돌**한다. 2026-08-18에 `33.04`가
#   ITL-p95 중앙값(ms)과 충돌해 오탐 1건 발생. `[CS-OK]`가 그 탈출구이고, 그 마커가
#   저자에게 **한 번은 보게** 만든다는 점이 이 도구의 값어치다. 다만 오탐이 잦아지면
#   도구를 끄게 되므로, 충돌이 반복되는 패턴은 **문맥어를 붙이거나 레지스트리에서 빼라**.
물리\s*SM\s*(id|인덱스)[^\n]{0,24}(확인|측정|일치|동일)	%smid R0 사전등록 §3.4	주장 형태만 차단(금지를 서술하는 문장은 통과). R0/R1은 "전역 일관 라벨"이지 물리 SM 인덱스가 아니다(job 889631)
실현\s*파티션[^\n]{0,12}측정	CONSENSUS §1-1 Gate 1 인용금지	L0 census는 이 문장을 열지 않는다 — 근거만 교체, 금지는 유지(§8-1)
74 SM[^\n]{0,20}실행	CONSENSUS §1-1 Gate 1 인용금지	동상. 판정서가 `R1.realised`로 이 금지어 재료를 직접 제공하므로 위험이 높다
870295|870296|870297|870301	CONSENSUS.md §3 항목14 (2026-08-01 E1 전제 실험 4건)	claims-auditor 미통과 — 결론·근거로 인용 금지. 상태 기록은 PROJECT_STATUS "열린 긴장"의 "2026-08-01 실험 4건" 소절에만. ★2026-08-23 신설: NSL-1 rev1이 870301 수치를 "★이미 확립된 것" 제목 아래 인용했고 레지스트리에 규칙이 없어 기계 검사가 fail-open으로 통과시켰다(교훈 #41 계열).
